title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
Madeshow M10 黑色无绳理发器，5 档速度调节 - 专业级,Madeshow M10 黑色无绳理发器，5 档速度调节 - 专业级,118,https://cf.shopee.com.br/file/br-11134207-7r98o-lljcl11lcf1218,http://shopee.com.br/product/388732234/22996838400,Men's Care,Shaving & Grooming,IVCN202603244742,219153978785,https://detail.1688.com/offer/771904645903.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,03-24发布,22996838400,161.26 ,四月热招,1
Madeshow M10 白色理发器，5 档速度，专业级,Madeshow M10 白色理发器，5 档速度，专业级,118,https://cf.shopee.com.br/file/sg-11134201-7qvda-lhdhyvonvx44c6,http://shopee.com.br/product/388732234/21396977779,Men's Care,Shaving & Grooming,IVCN202603244744,199571960075,https://detail.1688.com/offer/656991653878.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688链接,03-24发布,21396977779,150.18 ,四月热招,1
Madeshow M10 无绳理发器，5 档速度，专业级,Madeshow M10 无绳理发器，5 档速度，专业级,118,https://cf.shopee.com.br/file/sg-11134201-7qvfm-lhdhwfngpo0b25,http://shopee.com.br/product/388732234/20396982942,Men's Care,Shaving & Grooming,IVCN202603244746,209571962043,https://detail.1688.com/offer/847488546188.html?kj_agent_plugin=aliprice&fromkv=xytTrace:21360a2e17733951253021486e10c1&token=1Smg4LaD6lU7GfwZzO0NVAh%2F0Yp%2BNgyykuHq%2FUL57aTmKR7wgk9kWSy%2FLBxbwKzs,1688链接,03-24发布,20396982942,160.03 ,四月热招,1
飞利浦 OneBlade 电动理发器/剃须刀，带 3 个梳子，防水，双电压 - QP2724/10,飞利浦 OneBlade 电动理发器/剃须刀，带 3 个梳子，防水，双电压 - QP2724/10,36,https://cf.shopee.com.br/file/br-11134207-81z1k-mg8fask9si68d0,http://shopee.com.br/product/494494398/22399137458,Men's Care,Shaving & Grooming,IVCN202603244748,228793548728,https://detail.1688.com/offer/890280822052.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bb405a417733949540562202e110b&token=9gUAfse0qKnyHa9yZd%2BD2A502blWv0%2B%2FMxoaKQ7w5eNKKm2f4QG5NlOjF%2BzyahVC,1688链接,03-24发布,22399137458,106.37 ,四月热招,1
A62_ VERAMORE 亮白焕彩防晒精华液 50ml - 保湿提亮防晒精华液,2 根管子,6,https://cf.shopee.vn/file/vn-11134207-81ztc-ml3k2n441ds0a9,http://shopee.vn/product/1160010827/51405901588,Skincare,Face Sunscreen,IVCN202603244750,297392036378,https://detail.1688.com/offer/921357284957.html?spm=a26352.13672862.offerlist.55.387cf6e6kXZDJS&cosite=-&tracelog=p4p&_p_isad=1&clickid=c7c4a905ef9546a29c0398d5a4050365&sessionid=bad6984ac0b04f88a8f60f7f094675d0,1688链接,03-24发布,51405901588,81.06 ,四月热招,1
72 张 Wilkinson 刀片，3 个密封盒 - 20x3 张（每张 60 张）,72 张 Wilkinson 刀片，3 个密封盒 - 20x3 张（每张 60 张）,164.16,https://cf.shopee.com.br/file/sg-11134201-7rdxv-m12w2r79566fc9,http://shopee.com.br/product/1375003888/19197927234,Men's Care,Shaving & Grooming,IVCN202603244752,228773603505,https://detail.1688.com/offer/747073581795.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i20&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,03-24发布,19197927234,1386.86 ,四月热招,1
【正品】亮白提亮防晒霜 50ml，维生素 B12,【正品】亮白提亮防晒霜 50ml，维生素 B12,17.88,https://cf.shopee.vn/file/sg-11134207-82606-mkk90rn5bw1vf5,http://shopee.vn/product/495475076/54055707391,Skincare,Face Sunscreen,IVCN202603244754,320516381908,https://detail.1688.com/offer/861406787781.html?spm=a26352.13672862.offerlist.13.28c65e508N2e0Y&offerId=861406787781&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=5681626861679&trace_log=normal&uuid=35bb34b017234c8f99f5bc7cd6d0e7b3&forcePC=1773390108670,1688链接,03-24发布,54055707391,36.23 ,四月热招,1
男士私处专用防水无线理发器，带LED聚光灯,豪华版 + 前往 ba,63,https://cf.shopee.com.br/file/cn-11134207-820l4-mlhndhjqmqyqb0,http://shopee.com.br/product/1541644703/43253931636,Men's Care,Shaving & Grooming,IVCN202603244756,315578272970,https://detail.1688.com/offer/868314241736.html?lang=zh&kjSource=pc&fromkv=refer%3AHVDFOR2TGRCFGTSGKJLUWVCDKFGDINCEJVHUEVCHIUZEIRKOIJJEONC2KRGVQM2NJ5BEMV2LGZGFQTRVLJDUSVJTIZGUMWSHI4ZEGN2HIUZVIT2NLJKUOVJTKRJU2USUI5ATGVCJLAZTGUCVHU6T2PJ5JU111111&bizType=saasTool&customerId=alipriceLP,1688链接,03-24发布,43253931636,107.73 ,四月热招,4
Q56_Veramore 毛孔隐形提亮防晒霜 SPF 50+ PA++++ 35ml - 具有提亮肤色和遮瑕功效的物理防晒霜。,1 管,6,https://cf.shopee.vn/file/vn-11134207-81ztc-ml7op6nrc7in93,http://shopee.vn/product/1160010827/41128945471,Skincare,Face Sunscreen,IVCN202603244758,420587397499,https://detail.1688.com/offer/904474636098.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,03-24发布,41128945471,41.81 ,四月热招,3
𝗕𝗘𝗔𝗨𝗧𝗬𝗙𝗢𝗥𝗟𝗘𝗦𝗦𝗣𝗛 ✅ 30克 Skino ren 面霜，含壬二酸，提亮肤色，均匀肤色,30克,10,https://cf.shopee.ph/file/ph-11134207-81ztq-mlko2247iu4i80,http://shopee.ph/product/353895835/52006130345,Skincare,Acne Treatment,IVCN202603244760,395557136489,https://detail.1688.com/offer/960832808554.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2127a84b17733748578122360e1059&token=qmdRGuxJmY4haDV9O5nppdzULa76tZGgrhavsWWsn7RvX5YlNjJz3iX7bLRQw2T0,1688链接,03-24发布,52006130345,64.82 ,四月热招,1
LUCENBASE 377精华液：美白提亮肤色，淡化色斑，保湿修护肌肤。30毫升,1 杯 30 毫升印度奶茶,8.3,https://cf.shopee.vn/file/cn-11134207-820l4-mkafo8fv203ocb,http://shopee.vn/product/1669255930/51754267805,Skincare,Facial Serum & Essence,IVCN202603244762,335401598711,"https://detail.1688.com/offer/851324915708.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982
https://detail.1688.com/offer/822501674124.html?spm=a26352.13672862.offerlist.122.2af51178iwXSiN&offerId=822501674124&sortType=&pageId=&abBizDataType=cbuOffer&trace_log=normal&uuid=06274adf4fcb4cc6a22c011008a4ae12&skuId=6087136599903&forcePC=1773643070153",1688链接,03-24发布,51754267805,13.86 ,四月热招,1
移除日本官方商店正品封条发票,30毫升,9,https://cf.shopee.com.br/file/br-11134207-81ztc-mk5rpxzkj8xsa2,http://shopee.com.br/product/1548753343/57805681284,Skincare,Facial Moisturizer,IVCN202603244764,365513539467,https://detail.1688.com/offer/868749348495.html?spm=a26352.13672862.offerlist.93.3f361e62vom2Sd&offerId=868749348495&sortType=&pageId=&abBizDataType=cbuOffer&trace_log=normal&uuid=5b4ba45a41264b81857f4702de7a93f2&skuId=5862946710070&forcePC=1773646988950,1688链接,03-24发布,57805681284,110.55 ,四月热招,1
